name,lat,lon,eligible_voters,votes,turnout
松戸市馬橋東市民センター,35.8085598,139.9198011,3320,1681,50.63
馬橋集会所,35.81304798,139.9196269,3600,1715,47.64
松戸市立幸谷小学校,35.82193866,139.9246245,6234,3191,51.19
松戸市役所新松戸支所,35.82656015,139.9137531,6798,3860,56.78
新松戸四丁目町会会館,35.82851796,139.9157076,5304,2858,53.88
松戸市立小金中学校,35.83273083,139.9148817,7072,3694,52.23
松戸市立新松戸西小学校,35.82525744,139.9035946,6399,3728,58.26
松戸市立新松戸南小学校,35.82352196,139.905819,6387,3524,55.17
松戸市立馬橋北小学校,35.82194356,139.9120651,4315,2269,52.58
松戸市馬橋市民センター,35.81481632,139.9143889,4552,2269,49.85
松戸市立馬橋小学校,35.81612277,139.9150239,5561,2647,47.6
プロムナード北松戸集会所,35.80457231,139.9136986,1841,969,52.63
