町丁字名,世帯数,総数,0 ～,5 ～,10～,15～,20～,25～,30～,35～,40～,45～,50～,55～,60～,65～,70～,75～,80～,85～,90～,95～,100歳
栄町西5丁目,388,958,30,64,70,48,52,29,53,51,67,89,102,54,40,26,47,56,41,27,10,2,－
紙敷,"1,076","2,186",70,87,93,86,124,165,111,134,134,142,180,136,113,99,118,153,122,71,34,12,2
和名ケ谷,"2,609","6,314",168,236,413,518,450,264,253,260,447,647,737,478,287,237,251,258,226,120,43,19,2
大橋,"1,606","3,196",93,92,87,114,166,163,161,162,165,220,274,219,188,167,208,293,230,129,52,13,－
秋山,"1,370","3,136",94,129,140,141,194,167,141,160,165,209,308,285,216,171,149,178,140,92,45,11,1
高塚新田,"6,048","12,656",420,512,564,667,690,606,579,740,721,946,"1,183",858,650,598,708,831,710,402,196,68,7
河原塚,"2,652","5,861",191,271,286,293,299,329,318,347,418,416,500,490,362,273,270,294,269,140,74,19,2
田中新田,123,297,16,14,13,11,24,11,16,22,18,23,25,19,13,21,11,20,14,3,3,－,－
紙敷1丁目,581,"1,280",39,74,64,68,88,85,61,68,74,96,179,122,58,51,58,35,40,14,6,－,－
紙敷2丁目,14,21,－,－,－,1,－,3,1,－,1,2,3,1,1,－,1,1,3,2,－,－,1
紙敷3丁目,91,208,9,11,14,11,5,12,12,17,23,19,13,8,6,11,14,10,4,2,4,3,－
東松戸1丁目,"1,398","3,098",113,160,219,205,157,211,228,201,232,357,337,230,129,86,78,73,39,25,14,3,1
東松戸2丁目,"1,249","2,879",192,313,210,96,95,172,219,340,334,297,231,126,70,53,43,37,26,14,8,2,1
東松戸3丁目,785,"1,315",72,48,44,46,73,167,156,108,104,125,95,75,47,20,19,21,29,31,24,9,2
東松戸4丁目,321,641,19,32,45,31,39,80,52,40,57,61,57,37,20,13,18,18,10,10,2,－,－
秋山1丁目,837,"1,809",59,85,115,105,104,98,84,108,129,191,211,182,96,65,59,54,34,22,6,2,－
秋山2丁目,626,"1,630",111,139,136,104,67,77,106,131,175,176,137,78,41,35,29,44,25,9,9,－,1
秋山3丁目,623,"1,604",50,94,133,143,132,94,69,71,122,150,159,128,72,38,43,36,33,21,10,6,－
馬橋,"4,243","7,009",190,155,185,219,480,690,563,472,442,498,553,516,406,320,337,375,277,197,102,26,6
中根,740,"1,274",39,25,26,41,66,123,113,102,83,91,120,109,81,56,64,55,33,35,8,4,－
新作,"2,037","3,909",185,142,144,149,183,285,328,257,298,291,298,282,230,185,149,193,157,94,52,7,－
三ケ月,"1,441","2,999",122,178,115,107,148,195,185,252,258,202,247,268,177,141,116,97,98,55,35,3,－
幸谷,"1,686","3,470",122,112,139,161,243,280,232,221,235,241,316,262,200,157,164,165,121,65,25,8,1
七右衛門新田,69,175,4,5,10,7,7,8,7,8,10,12,14,13,17,10,12,8,6,15,1,－,1
主水新田,65,172,－,4,6,8,18,5,4,3,12,8,11,19,13,10,14,8,13,10,4,2,－
外河原,4,14,－,－,2,－,1,1,－,－,－,1,1,3,－,－,1,1,2,1,－,－,－
中根長津町,655,"1,140",41,35,43,46,69,119,108,87,101,99,130,91,44,34,33,23,27,6,3,1,－
西馬橋蔵元町,"1,197","1,771",55,38,39,53,174,296,180,132,120,114,136,129,86,56,62,37,39,18,5,2,－
西馬橋幸町,"1,026","1,573",50,35,31,46,127,200,128,144,127,108,124,105,87,57,64,66,43,21,6,3,1
西馬橋広手町,597,"1,022",29,27,26,30,67,79,65,73,56,72,88,80,64,56,58,69,46,24,9,3,1
西馬橋相川町,715,"1,275",39,36,32,40,74,110,86,83,96,85,93,94,83,76,76,72,51,31,18,－,－
旭町1丁目,25,35,－,－,－,2,1,－,－,－,1,3,2,－,1,6,－,2,3,10,2,2,－
